,player,season,per,ts_pct,usg_pct,bpm,vorp,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
513,Tim Duncan,2008-09,24.4,0.549,28.5,5.4,4.7,0.6585365853658537,0.0,2.0,1210.0,0.002,75.0,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.692,10.1,0.191
514,Yao Ming,2008-09,22.7,0.618,26.2,3.1,3.3,0.6463414634146342,0.0,1.0,1210.0,0.001,77.0,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1.0,0.866,10.6,0.196
515,LeBron James,2009-10,31.1,0.604,33.5,11.8,10.3,0.7439024390243902,116.0,1205.0,1230.0,0.98,76.0,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299
516,Kevin Durant,2009-10,26.2,0.607,32.0,7.1,7.5,0.6097560975609756,4.0,609.0,1230.0,0.495,82.0,39.5,30.1,7.6,2.8,1.4,1.0,0.476,0.365,0.9,16.1,0.238
517,Kobe Bryant,2009-10,21.9,0.545,32.3,4.1,4.4,0.6951219512195121,0.0,599.0,1230.0,0.487,73.0,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.329,0.811,9.4,0.16
518,Dwight Howard,2009-10,24.0,0.63,23.9,4.4,4.6,0.7195121951219512,3.0,478.0,1230.0,0.389,82.0,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223
519,Dwyane Wade,2009-10,28.0,0.562,34.9,9.2,7.9,0.573170731707317,0.0,119.0,1230.0,0.097,77.0,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13.0,0.224
520,Carmelo Anthony,2009-10,22.2,0.548,33.4,2.3,2.9,0.6463414634146342,0.0,65.0,1230.0,0.053,69.0,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145
521,Dirk Nowitzki,2009-10,22.9,0.578,28.8,4.2,4.7,0.6707317073170732,0.0,55.0,1230.0,0.045,81.0,37.5,25.0,7.7,2.7,0.9,1.0,0.481,0.421,0.915,12.3,0.194
522,Steve Nash,2009-10,21.6,0.615,22.9,4.3,4.2,0.6585365853658537,0.0,49.0,1230.0,0.04,81.0,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9,0.178
523,Deron Williams,2009-10,20.6,0.574,23.8,3.8,4.1,0.6463414634146342,0.0,7.0,1230.0,0.006,76.0,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177
524,Amar'e Stoudemire,2009-10,22.6,0.615,27.3,1.0,2.2,0.6585365853658537,0.0,5.0,1230.0,0.004,82.0,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.167,0.771,10.7,0.181
525,Manu Ginóbili,2009-10,22.5,0.584,25.8,6.7,4.7,0.6097560975609756,0.0,3.0,1230.0,0.002,75.0,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216
526,Chauncey Billups,2009-10,20.2,0.601,24.3,3.7,3.6,0.6463414634146342,0.0,1.0,1230.0,0.001,73.0,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182
527,Chris Bosh,2009-10,25.0,0.592,28.7,3.6,3.6,0.4878048780487805,0.0,1.0,1230.0,0.001,70.0,36.1,24.0,10.8,2.4,0.6,1.0,0.518,0.364,0.797,9.6,0.182
528,Stephen Jackson,2009-10,15.7,0.52,27.8,0.6,1.8,0.0,0.0,1.0,1230.0,0.001,81.0,38.6,20.6,5.0,3.7,1.6,0.5,0.423,0.328,0.779,5.0,0.077
529,Joe Johnson,2009-10,19.3,0.538,26.3,2.7,3.4,0.6463414634146342,0.0,1.0,1230.0,0.001,76.0,38.0,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14
530,Derrick Rose,2010-11,23.5,0.55,32.2,6.8,6.7,0.7560975609756098,113.0,1182.0,1210.0,0.977,81.0,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208
531,Dwight Howard,2010-11,26.1,0.616,27.2,5.3,5.4,0.6341463414634146,3.0,643.0,1210.0,0.531,78.0,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235
532,LeBron James,2010-11,27.3,0.594,31.5,8.1,7.8,0.7073170731707317,4.0,522.0,1210.0,0.431,79.0,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244
533,Kobe Bryant,2010-11,23.9,0.548,35.1,5.2,5.0,0.6951219512195121,1.0,428.0,1210.0,0.354,82.0,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
534,Kevin Durant,2010-11,23.6,0.589,30.6,4.9,5.3,0.6707317073170732,0.0,190.0,1210.0,0.157,78.0,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.189
535,Dirk Nowitzki,2010-11,23.4,0.612,28.2,5.1,4.5,0.6951219512195121,0.0,113.0,1210.0,0.093,73.0,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
536,Dwyane Wade,2010-11,25.6,0.581,31.6,6.6,6.1,0.7073170731707317,0.0,24.0,1210.0,0.02,76.0,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
537,Manu Ginóbili,2010-11,21.7,0.581,26.0,5.4,4.5,0.7439024390243902,0.0,20.0,1210.0,0.017,80.0,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
538,Amar'e Stoudemire,2010-11,22.7,0.565,30.9,1.4,2.4,0.5121951219512195,0.0,9.0,1210.0,0.007,78.0,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134
539,Blake Griffin,2010-11,21.9,0.549,27.3,2.6,3.6,0.3902439024390244,0.0,5.0,1210.0,0.004,82.0,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
540,Rajon Rondo,2010-11,17.1,0.495,18.3,3.1,3.2,0.6829268292682927,0.0,5.0,1210.0,0.004,68.0,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
541,Tony Parker,2010-11,20.4,0.569,25.5,1.8,2.4,0.7439024390243902,0.0,3.0,1210.0,0.002,78.0,32.4,17.5,3.1,6.6,1.2,0.0,0.519,0.357,0.769,8.2,0.156
542,Chris Paul,2010-11,23.7,0.578,21.1,7.1,6.7,0.5609756097560976,0.0,2.0,1210.0,0.002,80.0,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
543,LeBron James,2011-12,30.7,0.605,32.0,10.9,7.6,0.696969696969697,85.0,1074.0,1210.0,0.888,62.0,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
544,Kevin Durant,2011-12,26.2,0.61,31.3,7.0,5.8,0.7121212121212122,24.0,889.0,1210.0,0.735,66.0,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
545,Chris Paul,2011-12,27.0,0.581,24.3,9.2,6.1,0.6060606060606061,6.0,385.0,1210.0,0.318,60.0,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
546,Kobe Bryant,2011-12,21.9,0.527,35.7,3.3,2.9,0.6212121212121212,2.0,352.0,1210.0,0.291,58.0,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
547,Tony Parker,2011-12,22.0,0.539,27.7,2.7,2.3,0.7575757575757576,4.0,331.0,1210.0,0.274,60.0,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177
548,Kevin Love,2011-12,25.4,0.568,28.8,5.2,3.9,0.3939393939393939,0.0,58.0,1210.0,0.048,55.0,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223
549,Dwight Howard,2011-12,24.2,0.569,26.1,4.3,3.3,0.5606060606060606,0.0,13.0,1210.0,0.011,54.0,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179
550,Rajon Rondo,2011-12,17.5,0.483,20.7,2.2,2.1,0.5909090909090909,0.0,12.0,1210.0,0.01,53.0,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121
551,Steve Nash,2011-12,20.3,0.625,19.6,3.4,2.7,0.5,0.0,7.0,1210.0,0.006,62.0,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144
552,Dwyane Wade,2011-12,26.3,0.559,31.3,7.9,4.0,0.696969696969697,0.0,6.0,1210.0,0.005,49.0,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227
553,Derrick Rose,2011-12,23.0,0.532,30.5,6.4,2.9,0.7575757575757576,0.0,5.0,1210.0,0.004,39.0,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0,0.211
554,Dirk Nowitzki,2011-12,21.7,0.564,29.2,3.7,3.0,0.5454545454545454,0.0,4.0,1210.0,0.003,62.0,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175
555,Russell Westbrook,2011-12,22.9,0.538,32.7,3.0,3.0,0.7121212121212122,0.0,4.0,1210.0,0.003,66.0,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163
556,Tim Duncan,2011-12,22.5,0.531,26.2,3.3,2.2,0.7575757575757576,0.0,3.0,1210.0,0.002,58.0,28.2,15.4,9.0,2.3,0.7,1.5,0.492,0.0,0.695,5.9,0.174
557,Joe Johnson,2011-12,18.4,0.557,24.9,2.1,2.2,0.6060606060606061,0.0,1.0,1210.0,0.001,60.0,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145
558,LeBron James,2012-13,31.6,0.64,30.2,11.7,9.9,0.8048780487804879,120.0,1207.0,1210.0,0.998,76.0,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
559,Kevin Durant,2012-13,28.3,0.647,29.8,9.3,8.9,0.7317073170731707,0.0,765.0,1210.0,0.632,81.0,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291
560,Carmelo Anthony,2012-13,24.8,0.56,35.6,4.3,3.9,0.6585365853658537,1.0,475.0,1210.0,0.393,67.0,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
561,Chris Paul,2012-13,26.4,0.594,22.6,8.8,6.4,0.6829268292682927,0.0,289.0,1210.0,0.239,70.0,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287
562,Kobe Bryant,2012-13,23.0,0.57,31.9,4.6,5.0,0.5487804878048781,0.0,184.0,1210.0,0.152,78.0,38.6,27.3,5.6,6.0,1.4,0.3,0.463,0.324,0.839,10.9,0.174
563,Tony Parker,2012-13,23.0,0.588,27.7,3.6,3.1,0.7073170731707317,0.0,86.0,1210.0,0.071,66.0,32.9,20.3,3.0,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206
564,Tim Duncan,2012-13,24.4,0.554,27.8,5.3,3.8,0.7073170731707317,0.0,65.0,1210.0,0.054,69.0,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191
565,James Harden,2012-13,23.0,0.6,29.0,5.6,5.8,0.5487804878048781,0.0,33.0,1210.0,0.027,78.0,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206
566,Russell Westbrook,2012-13,23.9,0.532,32.8,4.4,4.6,0.7317073170731707,0.0,9.0,1210.0,0.007,82.0,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195
567,Dwyane Wade,2012-13,24.0,0.571,29.5,4.4,3.8,0.8048780487804879,0.0,5.0,1210.0,0.004,69.0,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
568,Stephen Curry,2012-13,21.3,0.589,26.4,5.4,5.6,0.573170731707317,0.0,3.0,1210.0,0.002,78.0,38.2,22.9,4.0,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18
569,Kevin Garnett,2012-13,19.2,0.535,24.5,2.6,2.3,0.5061728395061729,0.0,1.0,1210.0,0.001,68.0,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133
570,Marc Gasol,2012-13,19.5,0.559,19.2,5.2,5.1,0.6829268292682927,0.0,1.0,1210.0,0.001,80.0,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197
571,Ty Lawson,2012-13,17.9,0.549,22.3,2.0,2.5,0.6951219512195121,0.0,1.0,1210.0,0.001,73.0,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141
572,David Lee,2012-13,19.2,0.561,23.2,1.8,2.8,0.573170731707317,0.0,1.0,1210.0,0.001,79.0,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0.0,0.797,9.1,0.15
573,Joakim Noah,2012-13,18.1,0.534,17.2,3.4,3.3,0.5487804878048781,0.0,1.0,1210.0,0.001,66.0,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145
574,Kevin Durant,2013-14,29.8,0.635,33.0,10.2,9.6,0.7195121951219512,119.0,1232.0,1250.0,0.986,81.0,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
575,LeBron James,2013-14,29.3,0.649,31.0,8.8,7.9,0.6585365853658537,6.0,891.0,1250.0,0.713,77.0,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264
576,Blake Griffin,2013-14,23.9,0.583,29.0,4.5,4.7,0.6951219512195121,0.0,434.0,1250.0,0.347,80.0,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205
577,Joakim Noah,2013-14,20.0,0.531,18.7,5.3,5.2,0.5853658536585366,0.0,322.0,1250.0,0.258,80.0,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19
578,James Harden,2013-14,23.5,0.618,27.8,5.6,5.3,0.6585365853658537,0.0,85.0,1250.0,0.068,73.0,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221
579,Stephen Curry,2013-14,24.1,0.61,28.3,7.4,6.7,0.6219512195121951,0.0,66.0,1250.0,0.053,78.0,36.5,24.0,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225
580,Chris Paul,2013-14,25.9,0.58,23.7,8.6,5.8,0.6951219512195121,0.0,45.0,1250.0,0.036,62.0,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27
581,Al Jefferson,2013-14,22.7,0.532,29.3,2.7,3.0,0.524390243902439,0.0,34.0,1250.0,0.027,73.0,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146
582,Paul George,2013-14,20.1,0.555,28.3,4.9,5.0,0.6829268292682927,0.0,33.0,1250.0,0.026,80.0,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178
583,LaMarcus Aldridge,2013-14,21.8,0.507,29.8,2.3,2.7,0.6585365853658537,0.0,26.0,1250.0,0.021,69.0,36.2,23.2,11.1,2.6,0.9,1.0,0.458,0.2,0.822,7.5,0.144
584,Kevin Love,2013-14,26.9,0.591,28.8,8.9,7.7,0.4878048780487805,0.0,25.0,1250.0,0.02,77.0,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245
585,Tim Duncan,2013-14,21.3,0.535,25.2,3.3,2.9,0.7560975609756098,0.0,21.0,1250.0,0.017,74.0,29.2,15.1,9.7,3.0,0.6,1.9,0.49,0.0,0.731,7.4,0.164
586,Tony Parker,2013-14,18.9,0.555,26.5,0.9,1.5,0.7560975609756098,0.0,21.0,1250.0,0.017,68.0,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141
587,Dirk Nowitzki,2013-14,23.6,0.603,26.9,5.0,4.7,0.5975609756097561,0.0,7.0,1250.0,0.006,80.0,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199
588,Carmelo Anthony,2013-14,24.4,0.561,32.4,5.0,5.3,0.45121951219512196,0.0,4.0,1250.0,0.003,77.0,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172
589,Goran Dragić,2013-14,21.4,0.604,24.5,3.9,4.0,0.5853658536585366,0.0,3.0,1250.0,0.002,76.0,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186
590,Mike Conley,2013-14,20.0,0.545,24.6,3.8,3.6,0.6097560975609756,0.0,1.0,1250.0,0.001,73.0,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2,0.161
591,Stephen Curry,2014-15,28.0,0.638,28.9,9.9,7.9,0.8170731707317073,100.0,1198.0,1300.0,0.922,80.0,32.7,23.8,4.3,7.7,2.0,0.2,0.487,0.443,0.914,15.7,0.288
592,James Harden,2014-15,26.7,0.605,31.3,8.8,8.1,0.6829268292682927,25.0,936.0,1300.0,0.72,81.0,36.8,27.4,5.7,7.0,1.9,0.7,0.44,0.375,0.868,16.4,0.265
593,LeBron James,2014-15,25.9,0.577,32.3,7.1,5.7,0.6463414634146342,5.0,552.0,1300.0,0.425,69.0,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199
594,Russell Westbrook,2014-15,29.1,0.536,38.4,8.1,5.8,0.5487804878048781,0.0,352.0,1300.0,0.271,67.0,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222
595,Anthony Davis,2014-15,30.8,0.591,27.8,8.9,6.7,0.5487804878048781,0.0,203.0,1300.0,0.156,68.0,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.274
596,Chris Paul,2014-15,26.0,0.596,23.7,8.0,7.2,0.6829268292682927,0.0,124.0,1300.0,0.095,82.0,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27
597,LaMarcus Aldridge,2014-15,22.8,0.528,30.2,2.9,3.1,0.6219512195121951,0.0,6.0,1300.0,0.005,71.0,35.4,23.4,10.2,1.7,0.7,1.0,0.466,0.352,0.845,8.6,0.165
598,Marc Gasol,2014-15,21.7,0.558,24.6,5.1,4.8,0.6707317073170732,0.0,3.0,1300.0,0.002,81.0,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182
599,Blake Griffin,2014-15,22.8,0.551,28.4,4.0,3.6,0.6829268292682927,0.0,3.0,1300.0,0.002,67.0,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9.0,0.183
600,Tim Duncan,2014-15,22.6,0.56,22.2,5.1,4.0,0.6707317073170732,0.0,1.0,1300.0,0.001,77.0,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.286,0.74,9.6,0.207
601,Kawhi Leonard,2014-15,22.0,0.567,23.0,5.9,4.1,0.6707317073170732,0.0,1.0,1300.0,0.001,64.0,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204
602,Klay Thompson,2014-15,20.8,0.591,27.6,4.4,4.0,0.8170731707317073,0.0,1.0,1300.0,0.001,77.0,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172
603,Stephen Curry,2015-16,31.5,0.669,32.6,11.9,9.5,0.8902439024390244,131.0,1310.0,1310.0,1.0,79.0,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
604,Kawhi Leonard,2015-16,26.0,0.616,25.8,9.1,6.7,0.8170731707317073,0.0,634.0,1310.0,0.484,72.0,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277
605,LeBron James,2015-16,27.5,0.588,31.4,9.0,7.5,0.6951219512195121,0.0,631.0,1310.0,0.482,76.0,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
606,Russell Westbrook,2015-16,27.6,0.554,31.6,7.8,6.8,0.6707317073170732,0.0,486.0,1310.0,0.371,80.0,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245
607,Kevin Durant,2015-16,28.2,0.634,30.6,9.9,7.8,0.6707317073170732,0.0,147.0,1310.0,0.112,72.0,35.8,28.2,8.2,5.0,1.0,1.2,0.505,0.387,0.898,14.5,0.27
608,Chris Paul,2015-16,26.2,0.575,27.1,7.9,6.0,0.6463414634146342,0.0,107.0,1310.0,0.082,74.0,32.7,19.5,4.2,10.0,2.1,0.2,0.462,0.371,0.896,12.7,0.253
609,Draymond Green,2015-16,19.3,0.587,18.8,5.5,5.3,0.8902439024390244,0.0,50.0,1310.0,0.038,81.0,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
610,Damian Lillard,2015-16,22.2,0.56,31.3,4.4,4.3,0.5365853658536586,0.0,26.0,1310.0,0.02,75.0,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
611,James Harden,2015-16,25.3,0.598,32.5,6.6,6.8,0.5,0.0,9.0,1310.0,0.007,82.0,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
612,Kyle Lowry,2015-16,22.2,0.578,26.1,5.8,5.7,0.6829268292682927,0.0,6.0,1310.0,0.005,77.0,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
613,Russell Westbrook,2016-17,30.6,0.554,41.7,11.1,9.3,0.573170731707317,69.0,888.0,1010.0,0.879,81.0,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
614,James Harden,2016-17,27.4,0.613,34.2,8.7,8.0,0.6707317073170732,22.0,753.0,1010.0,0.746,81.0,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245
615,Kawhi Leonard,2016-17,27.6,0.61,31.1,9.4,7.1,0.7439024390243902,9.0,500.0,1010.0,0.495,74.0,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
616,LeBron James,2016-17,27.0,0.619,30.0,7.6,6.7,0.6219512195121951,1.0,333.0,1010.0,0.33,74.0,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221
617,Isaiah Thomas,2016-17,26.5,0.625,34.0,6.7,5.6,0.6463414634146342,0.0,81.0,1010.0,0.08,76.0,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234
618,Stephen Curry,2016-17,24.6,0.624,30.1,6.9,5.9,0.8170731707317073,0.0,52.0,1010.0,0.051,79.0,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229
619,Giannis Antetokounmpo,2016-17,26.1,0.599,28.3,7.3,6.7,0.5121951219512195,0.0,7.0,1010.0,0.007,80.0,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
620,John Wall,2016-17,23.2,0.541,30.6,4.7,4.8,0.5975609756097561,0.0,7.0,1010.0,0.007,78.0,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149
621,Anthony Davis,2016-17,27.5,0.58,32.6,5.9,5.4,0.4146341463414634,0.0,2.0,1010.0,0.002,75.0,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195
622,Kevin Durant,2016-17,27.6,0.651,27.8,8.9,5.7,0.8170731707317073,0.0,2.0,1010.0,0.002,62.0,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278
623,DeMar DeRozan,2016-17,24.0,0.552,34.3,3.0,3.3,0.6219512195121951,0.0,1.0,1010.0,0.001,74.0,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166
624,James Harden,2017-18,29.8,0.619,36.1,9.9,7.7,0.7926829268292683,86.0,965.0,1010.0,0.955,72.0,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
625,LeBron James,2017-18,28.6,0.621,31.6,8.7,8.2,0.6097560975609756,15.0,738.0,1010.0,0.731,82.0,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221
626,Anthony Davis,2017-18,28.9,0.612,30.0,6.7,5.9,0.5853658536585366,0.0,445.0,1010.0,0.441,75.0,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241
627,Damian Lillard,2017-18,25.2,0.594,30.6,7.2,6.3,0.5975609756097561,0.0,207.0,1010.0,0.205,73.0,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227
628,Russell Westbrook,2017-18,24.7,0.524,34.1,6.3,6.1,0.5853658536585366,0.0,76.0,1010.0,0.075,80.0,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
629,Giannis Antetokounmpo,2017-18,27.3,0.598,31.2,6.2,5.7,0.5365853658536586,0.0,75.0,1010.0,0.074,75.0,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
630,Kevin Durant,2017-18,26.0,0.64,30.4,7.3,5.5,0.7073170731707317,0.0,66.0,1010.0,0.065,68.0,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
631,DeMar DeRozan,2017-18,21.0,0.555,29.6,2.8,3.2,0.7195121951219512,0.0,32.0,1010.0,0.032,80.0,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
632,LaMarcus Aldridge,2017-18,25.0,0.57,29.1,3.9,3.7,0.573170731707317,0.0,6.0,1010.0,0.006,75.0,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.837,10.9,0.209
633,Jimmy Butler,2017-18,23.7,0.59,24.9,5.8,4.2,0.573170731707317,0.0,5.0,1010.0,0.005,59.0,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198
634,Stephen Curry,2017-18,28.2,0.675,31.0,7.7,4.0,0.7073170731707317,0.0,5.0,1010.0,0.005,51.0,32.0,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267
635,Joel Embiid,2017-18,22.9,0.573,33.4,3.3,2.6,0.6341463414634146,0.0,4.0,1010.0,0.004,63.0,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155
636,Victor Oladipo,2017-18,23.1,0.577,30.1,5.8,5.0,0.5853658536585366,0.0,2.0,1010.0,0.002,75.0,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
637,Giannis Antetokounmpo,2018-19,30.9,0.644,32.3,10.4,7.4,0.7317073170731707,78.0,941.0,1010.0,0.932,72.0,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
638,James Harden,2018-19,30.6,0.616,40.5,11.0,9.3,0.6463414634146342,23.0,776.0,1010.0,0.768,78.0,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254
639,Paul George,2018-19,23.3,0.583,29.5,7.2,6.6,0.5975609756097561,0.0,356.0,1010.0,0.352,77.0,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201
